block,block_type,trial,proposition_id,question_slug,cue,mask_type,response_type,pic,correct_response,response,rt,is_correct
3,test,119,donkey:visual:yes:2,does-it-have-four-legs,donkey,mask,pic,donkey,yes,,,
3,test,120,deer:nonvisual:yes:3,is-it-a-mammal,deer,mask,prompt,,yes,,,
3,test,121,zebra:visual:no:2,does-it-have-antennae,zebra,nomask,prompt,,no,,,
3,test,122,penguin:visual:yes:2,does-it-have-a-beak,penguin,nomask,prompt,,yes,,,
3,test,123,alligator:nonvisual:yes:5,does-it-eat-people,alligator,mask,pic,alligator,yes,,,
3,test,124,raccoon:nonvisual:yes:4,does-it-produce-offspring,raccoon,nomask,prompt,,yes,,,
3,test,125,swan:visual:yes:3,does-it-have-feathers,swan,nomask,prompt,,yes,,,
3,test,126,zebra:nonvisual:yes:3,does-it-live-in-africa,zebra,mask,prompt,,yes,,,
3,test,127,banana:nonvisual:yes:2,does-it-taste-good,banana,nomask,prompt,,yes,,,
3,test,128,pig:visual:no:5,does-it-have-fur,pig,nomask,prompt,,no,,,
3,test,129,apple:visual:yes:1,is-it-red,apple,nomask,prompt,,yes,,,
3,test,130,pig:visual:yes:4,does-it-have-legs,pig,nomask,pic,pig,yes,,,
3,test,131,pineapple:visual:yes:4,is-it-yellow-inside,pineapple,nomask,prompt,,yes,,,
3,test,132,table:visual:yes:1,is-it-made-of-wood,table,mask,pic,table,yes,,,
3,test,133,mouse:nonvisual:yes:5,does-it-eat-cheese,mouse,nomask,prompt,,yes,,,
3,test,134,banana:visual:yes:1,is-it-yellow,banana,mask,prompt,,yes,,,
3,test,135,grasshopper:visual:no:4,is-it-long,grasshopper,mask,pic,banana,no,,,
3,test,136,strawberry:visual:yes:4,is-it-small,strawberry,nomask,pic,strawberry,yes,,,
3,test,137,toad:visual:yes:1,is-it-green,toad,nomask,prompt,,yes,,,
3,test,138,apple:nonvisual:yes:3,is-it-eaten-in-pies,apple,nomask,pic,apple,yes,,,
3,test,139,camel:nonvisual:no:1,is-it-a-bird,camel,mask,prompt,,no,,,
3,test,140,bottle:visual:yes:2,is-it-made-of-plastic,bottle,nomask,prompt,,yes,,,
3,test,141,jacket:nonvisual:yes:2,is-it-worn-in-cold-temperatures,jacket,mask,prompt,,yes,,,
3,test,142,elephant:visual:yes:1,is-it-grey,elephant,nomask,pic,elephant,yes,,,
3,test,143,bike:visual:yes:3,does-it-have-gears,bike,mask,prompt,,yes,,,
3,test,144,giraffe:visual:yes:4,is-it-brown,giraffe,mask,prompt,,yes,,,
3,test,145,strawberry:visual:yes:3,does-it-have-green-leaves,strawberry,nomask,pic,strawberry,yes,,,
3,test,146,dog:nonvisual:yes:4,is-it-used-for-protection,dog,nomask,prompt,,yes,,,
3,test,147,alligator:nonvisual:no:3,is-it-used-for-freight,alligator,mask,prompt,,no,,,
3,test,148,donkey:nonvisual:yes:5,does-it-make-noises,donkey,nomask,pic,donkey,yes,,,
3,test,149,deer:visual:no:4,does-it-have-a-cushion,deer,nomask,prompt,,no,,,
3,test,150,lion:nonvisual:no:3,does-it-waddle,lion,nomask,prompt,,no,,,
3,test,151,rabbit:nonvisual:yes:3,is-it-edible,rabbit,mask,prompt,,yes,,,
3,test,152,table:nonvisual:yes:3,is-it-found-in-dining-rooms,table,mask,prompt,,yes,,,
3,test,153,camel:nonvisual:no:4,does-it-live-on-a-farm,camel,mask,prompt,,no,,,
4,test,154,toad:nonvisual:yes:1,does-it-eat,toad,mask,pic,toad,yes,,,
4,test,155,dog:nonvisual:yes:5,does-it-chase-cats,dog,mask,prompt,,yes,,,
4,test,156,donkey:nonvisual:no:2,does-it-grow-on-trees,donkey,nomask,pic,chicken,no,,,
4,test,157,tiger:nonvisual:no:5,is-it-used-for-relaxing,tiger,nomask,prompt,,no,,,
4,test,158,apple:visual:no:3,does-it-have-a-beak,apple,mask,prompt,,no,,,
4,test,159,zebra:visual:yes:3,does-it-have-hooves,zebra,nomask,prompt,,yes,,,
4,test,160,carrot:visual:yes:3,is-it-long,carrot,nomask,prompt,,yes,,,
4,test,161,table:visual:yes:3,does-it-have-legs,table,mask,prompt,,yes,,,
4,test,162,mouse:nonvisual:yes:2,is-it-an-animal,mouse,nomask,prompt,,yes,,,
4,test,163,bike:visual:yes:4,is-it-made-of-metal,bike,mask,prompt,,yes,,,
4,test,164,grasshopper:visual:no:5,does-it-have-long-legs,grasshopper,mask,prompt,,no,,,
4,test,165,giraffe:nonvisual:yes:1,does-it-eat-leaves,giraffe,mask,prompt,,yes,,,
4,test,166,grasshopper:visual:yes:1,is-it-green,grasshopper,mask,prompt,,yes,,,
4,test,167,chair:nonvisual:yes:6,is-it-used-in-circuses,chair,nomask,prompt,,yes,,,
4,test,168,pineapple:nonvisual:yes:4,does-it-grow-in-hawaii,pineapple,nomask,prompt,,yes,,,
4,test,169,elephant:nonvisual:yes:2,does-it-live-in-africa,elephant,nomask,prompt,,yes,,,
4,test,170,swan:nonvisual:yes:4,does-it-lay-eggs,swan,mask,pic,swan,yes,,,
4,test,171,train:visual:yes:1,does-it-have-a-caboose,train,nomask,prompt,,yes,,,
4,test,172,chicken:nonvisual:yes:2,does-it-live-on-a-farm,chicken,mask,prompt,,yes,,,
4,test,173,jacket:nonvisual:yes:3,is-it-worn-in-winter,jacket,mask,pic,jacket,yes,,,
4,test,174,raccoon:visual:yes:4,does-it-have-stripes,raccoon,nomask,prompt,,yes,,,
4,test,175,camel:visual:yes:1,does-it-have-a-hump,camel,mask,prompt,,yes,,,
4,test,176,toad:nonvisual:yes:3,is-it-an-amphibian,toad,mask,prompt,,yes,,,
4,test,177,chair:nonvisual:yes:1,is-it-used-for-sitting-on,chair,mask,prompt,,yes,,,
4,test,178,swan:nonvisual:yes:1,is-it-graceful,swan,mask,prompt,,yes,,,
4,test,179,tiger:visual:yes:5,does-it-have-large-teeth,tiger,nomask,pic,tiger,yes,,,
4,test,180,carrot:nonvisual:no:3,does-it-live-in-africa,carrot,nomask,prompt,,no,,,
4,test,181,alligator:visual:no:3,is-it-round,alligator,nomask,prompt,,no,,,
4,test,182,train:nonvisual:yes:3,does-it-require-a-conductor,train,mask,prompt,,yes,,,
4,test,183,rabbit:nonvisual:no:3,does-it-roar,rabbit,mask,prompt,,no,,,
4,test,184,lion:nonvisual:yes:2,is-it-a-carnivore,lion,mask,pic,lion,yes,,,
4,test,185,banana:nonvisual:yes:3,does-it-grow-in-tropical-climates,banana,nomask,prompt,,yes,,,
4,test,186,elephant:visual:no:5,does-it-have-hooves,elephant,mask,prompt,,no,,,
4,test,187,strawberry:visual:no:2,does-it-have-a-tail,strawberry,mask,prompt,,no,,,
4,test,188,deer:visual:yes:1,does-it-have-antlers,deer,mask,prompt,,yes,,,
4,test,189,pig:nonvisual:yes:4,is-it-smelly,pig,nomask,pic,pig,yes,,,
4,test,190,deer:visual:no:3,does-it-have-a-lid,deer,nomask,prompt,,no,,,
4,test,191,donkey:visual:no:4,is-it-small,donkey,nomask,pic,train,no,,,
4,test,192,camel:nonvisual:yes:2,does-it-drink-water,camel,mask,pic,camel,yes,,,
4,test,193,jacket:visual:no:3,is-it-tall,jacket,mask,prompt,,no,,,
4,test,194,banana:visual:yes:4,does-it-have-a-skin,banana,mask,prompt,,yes,,,
4,test,195,table:nonvisual:no:2,is-it-a-mammal,table,mask,prompt,,no,,,
4,test,196,penguin:nonvisual:yes:1,is-it-a-bird,penguin,nomask,prompt,,yes,,,
4,test,197,apple:nonvisual:yes:4,is-it-nutritious,apple,mask,prompt,,yes,,,
4,test,198,pig:nonvisual:no:5,does-it-grow-in-hawaii,pig,mask,prompt,,no,,,
4,test,199,mouse:nonvisual:yes:4,is-it-used-in-experiments,mouse,mask,prompt,,yes,,,
4,test,200,alligator:nonvisual:yes:6,is-it-found-in-summer,alligator,nomask,pic,alligator,yes,,,
4,test,201,penguin:nonvisual:yes:5,does-it-waddle,penguin,mask,prompt,,yes,,,
4,test,202,raccoon:visual:no:1,does-it-have-a-mane,raccoon,mask,prompt,,no,,,
4,test,203,bottle:nonvisual:no:2,is-it-juicy,bottle,mask,pic,table,no,,,
4,test,204,zebra:nonvisual:yes:1,is-it-an-animal,zebra,mask,prompt,,yes,,,
5,test,205,train:visual:yes:4,is-it-made-of-metal,train,mask,prompt,,yes,,,
5,test,206,zebra:visual:yes:1,does-it-have-stripes,zebra,nomask,prompt,,yes,,,
5,test,207,camel:nonvisual:no:5,does-it-live-in-a-coop,camel,nomask,pic,deer,no,,,
5,test,208,carrot:nonvisual:no:2,does-it-live-in-swamps,carrot,mask,pic,camel,no,,,
5,test,209,elephant:nonvisual:yes:1,is-it-an-animal,elephant,nomask,prompt,,yes,,,
5,test,210,strawberry:visual:yes:1,is-it-red,strawberry,nomask,prompt,,yes,,,
5,test,211,banana:visual:yes:3,does-it-have-a-peel,banana,mask,prompt,,yes,,,
5,test,212,elephant:visual:yes:3,does-it-have-four-legs,elephant,nomask,prompt,,yes,,,
5,test,213,table:visual:yes:4,is-it-flat,table,mask,pic,table,yes,,,
5,test,214,raccoon:visual:yes:5,does-it-have-a-mask,raccoon,nomask,pic,raccoon,yes,,,
5,test,215,banana:nonvisual:yes:4,is-it-healthy,banana,mask,pic,banana,yes,,,
5,test,216,toad:nonvisual:yes:2,does-it-hop,toad,mask,prompt,,yes,,,
5,test,217,carrot:nonvisual:no:4,is-it-an-animal,carrot,mask,pic,rabbit,no,,,
5,test,218,chair:visual:no:2,does-it-have-a-tail,chair,mask,prompt,,no,,,
5,test,219,dog:nonvisual:yes:3,is-it-a-pet,dog,nomask,prompt,,yes,,,
5,test,220,chair:visual:yes:2,is-it-made-of-wood,chair,mask,pic,chair,yes,,,
5,test,221,bike:visual:yes:2,does-it-have-a-seat,bike,nomask,prompt,,yes,,,
5,test,222,mouse:nonvisual:yes:1,is-it-a-rodent,mouse,nomask,prompt,,yes,,,
5,test,223,tiger:nonvisual:yes:4,does-it-live-in-zoos,tiger,nomask,prompt,,yes,,,
5,test,224,deer:visual:yes:3,does-it-have-eyes,deer,nomask,prompt,,yes,,,
5,test,225,pig:visual:yes:2,does-it-have-a-tail,pig,nomask,prompt,,yes,,,
5,test,226,penguin:visual:yes:1,is-it-black,penguin,nomask,prompt,,yes,,,
5,test,227,mouse:visual:yes:2,is-it-grey,mouse,mask,pic,mouse,yes,,,
5,test,228,jacket:visual:yes:3,does-it-have-a-hood,jacket,mask,pic,jacket,yes,,,
5,test,229,rabbit:nonvisual:no:1,does-it-live-in-zoos,rabbit,nomask,prompt,,no,,,
5,test,230,zebra:nonvisual:yes:4,does-it-travel-in-herds,zebra,mask,prompt,,yes,,,
5,test,231,apple:nonvisual:yes:1,is-it-a-fruit,apple,mask,prompt,,yes,,,
5,test,232,giraffe:nonvisual:yes:4,is-it-a-mammal,giraffe,nomask,pic,giraffe,yes,,,
5,test,233,camel:nonvisual:yes:1,does-it-live-in-the-desert,camel,nomask,prompt,,yes,,,
5,test,234,alligator:visual:yes:5,does-it-have-jaws,alligator,mask,prompt,,yes,,,
5,test,235,deer:nonvisual:yes:2,is-it-fast,deer,nomask,prompt,,yes,,,
5,test,236,donkey:visual:yes:1,does-it-have-legs,donkey,mask,prompt,,yes,,,
5,test,237,alligator:visual:yes:1,does-it-have-a-long-tongue,alligator,mask,prompt,,yes,,,
5,test,238,swan:nonvisual:no:1,is-it-used-by-riding,swan,nomask,pic,carrot,no,,,
5,test,239,tiger:nonvisual:yes:5,does-it-live-in-india,tiger,nomask,prompt,,yes,,,
5,test,240,table:visual:no:4,does-it-have-a-skin,table,nomask,prompt,,no,,,
5,test,241,train:nonvisual:no:1,is-it-a-fruit,train,nomask,prompt,,no,,,
5,test,242,raccoon:nonvisual:yes:1,does-it-eat-garbage,raccoon,mask,prompt,,yes,,,
5,test,243,grasshopper:visual:yes:2,does-it-have-legs,grasshopper,mask,prompt,,yes,,,
5,test,244,chicken:visual:yes:3,does-it-have-a-beak,chicken,mask,prompt,,yes,,,
5,test,245,bottle:visual:yes:1,is-it-made-of-glass,bottle,mask,prompt,,yes,,,
5,test,246,lion:visual:yes:4,does-it-have-teeth,lion,nomask,prompt,,yes,,,
5,test,247,swan:visual:yes:4,does-it-have-wings,swan,nomask,prompt,,yes,,,
5,test,248,toad:nonvisual:no:4,does-it-taste-good,toad,mask,prompt,,no,,,
5,test,249,donkey:visual:yes:3,does-it-have-a-tail,donkey,mask,prompt,,yes,,,
5,test,250,pineapple:nonvisual:yes:3,does-it-grow-on-trees,pineapple,mask,prompt,,yes,,,
5,test,251,apple:visual:yes:5,does-it-have-a-core,apple,mask,prompt,,yes,,,
5,test,252,pig:visual:yes:3,does-it-have-a-snout,pig,mask,prompt,,yes,,,
5,test,253,pineapple:visual:yes:5,does-it-have-a-core,pineapple,nomask,prompt,,yes,,,
5,test,254,grasshopper:nonvisual:yes:1,is-it-an-insect,grasshopper,nomask,prompt,,yes,,,
5,test,255,lion:visual:yes:2,does-it-have-fur,lion,mask,prompt,,yes,,,
