question,question_slug,cue,correct_response,proposition_id,feat_type,qid,truth_coded,count,truth_mean,truth_std,truth_min,truth_max,imagery_mean,imagery_std,imagery_min,imagery_max,difficulty_mean,difficulty_std,difficulty_min,difficulty_max,facts_mean,facts_std,facts_min,facts_max,imagery_z,facts_z,difficulty_z,truth_normed,truth_agree,prop_visual
Is it round?,is-it-round,apple,yes,apple:visual:yes:4,visual,4,yes,6,0.833333333,1.169045194,-1,2,3,1.095445115,2,4,-1.5,0.547722558,-2,-1,1.5,1.974841766,0,4,2.447186038,0.734460367,-0.074425384,yes,1,0.235294118
Is it red?,is-it-red,apple,yes,apple:visual:yes:1,visual,1,yes,8,0.25,0.707106781,-1,1,2.625,1.060660172,1,4,-1.375,0.916125381,-2,0,0.625,0.744023809,0,2,1.863789393,-0.603774306,0.207274231,NA,NA,0.235294118
Does it have seeds?,does-it-have-seeds,apple,yes,apple:visual:yes:3,visual,3,yes,6,1.5,0.836660027,0,2,1,1.095445115,0,3,-1.666666667,0.816496581,-2,0,1.5,1.224744871,0,3,-0.664262734,0.734460367,-0.450024871,yes,1,0.235294118
Does it have a core?,does-it-have-a-core,apple,yes,apple:visual:yes:5,visual,5,yes,4,2,0,2,2,0.75,0.5,0,1,-2,0,-2,-2,1.25,1.5,0,3,-1.05319383,0.352107603,-1.201223845,yes,1,0.235294118
Is it a fruit?,is-it-a-fruit,apple,yes,apple:nonvisual:yes:1,nonvisual,1,yes,7,2,0,2,2,1.142857143,1.951800146,0,4,-1.857142857,0.377964473,-2,-1,1,1.527525232,0,4,-0.442016393,-0.030245161,-0.879281427,yes,1,0.235294118
Does it grow on trees?,does-it-grow-on-trees,apple,yes,apple:nonvisual:yes:2,nonvisual,2,yes,6,2,0,2,2,2,1.414213562,0,4,-1.833333333,0.40824829,-2,-1,0.833333333,0.752772653,0,2,0.891461652,-0.285147003,-0.825624358,yes,1,0.235294118
Is it eaten in pies?,is-it-eaten-in-pies,apple,yes,apple:nonvisual:yes:3,nonvisual,3,yes,6,2,0,2,2,2.333333333,1.505545305,0,4,-1.5,0.836660027,-2,0,1.833333333,1.602081979,0,4,1.410036447,1.244264052,-0.074425384,yes,1,0.235294118
Is it nutritious?,is-it-nutritious,apple,yes,apple:nonvisual:yes:4,nonvisual,4,yes,8,1.875,0.353553391,1,2,0.625,1.407885953,0,4,-1.75,0.46291005,-2,-1,2.25,1.281739889,0,4,-1.247659378,1.881518658,-0.637824614,yes,1,0.235294118
Is it used for cider?,is-it-used-for-cider,apple,yes,apple:nonvisual:yes:5,nonvisual,5,yes,5,1.8,0.447213595,1,2,0.6,0.894427191,0,2,-1.8,0.447213595,-2,-1,0.6,0.547722558,0,1,-1.286552488,-0.642009583,-0.75050446,yes,1,0.235294118
Is it black?,is-it-black,apple,no,apple:visual:no:1,visual,1,no,4,-2,0,-2,-2,1.5,1.732050808,0,4,-2,0,-2,-2,0,0,0,0,0.113599459,-1.559656216,-1.201223845,no,1,0.235294118
Does it have pockets?,does-it-have-pockets,apple,no,apple:visual:no:2,visual,2,no,7,-2,0,-2,-2,1,1.527525232,0,4,-2,0,-2,-2,0.714285714,1.253566341,0,3,-0.664262734,-0.467219748,-1.201223845,no,1,0.235294118
Does it have a beak?,does-it-have-a-beak,apple,no,apple:visual:no:3,visual,3,no,7,-1.857142857,0.377964473,-2,-1,1.571428571,1.618347187,0,4,-1.571428571,0.786795792,-2,0,1,1,0,2,0.22472263,-0.030245161,-0.235396592,no,1,0.235294118
Does it have a hood?,does-it-have-a-hood,apple,no,apple:visual:no:4,visual,4,no,5,-2,0,-2,-2,0.4,0.547722558,0,1,-1.8,0.447213595,-2,-1,0,0,0,0,-1.597697365,-1.559656216,-0.75050446,no,1,0.235294118
Does it have eyes?,does-it-have-eyes,apple,no,apple:visual:no:5,visual,5,no,5,-2,0,-2,-2,0,0,0,0,-1.8,0.447213595,-2,-1,0.4,0.894427191,0,2,-2.21998712,-0.947891794,-0.75050446,no,1,0.235294118
Is it an animal?,is-it-an-animal,apple,no,apple:nonvisual:no:1,nonvisual,1,no,5,-1.8,0.447213595,-2,-1,1.6,2.19089023,0,4,-1.4,1.341640786,-2,1,1,1.732050808,0,4,0.269171898,-0.030245161,0.150934308,no,1,0.235294118
Does it live in Africa?,does-it-live-in-africa,apple,no,apple:nonvisual:no:2,nonvisual,2,no,5,-1,0.707106781,-2,0,0.2,0.447213595,0,1,-1,1.224744871,-2,1,1,1.414213562,0,3,-1.908842242,-0.030245161,1.052373077,no,1,0.235294118
Is it fast?,is-it-fast,apple,no,apple:nonvisual:no:3,nonvisual,3,no,4,-2,0,-2,-2,0,0,0,0,-2,0,-2,-2,0,0,0,0,-2.21998712,-1.559656216,-1.201223845,no,1,0.235294118
Is it timid?,is-it-timid,apple,no,apple:nonvisual:no:4,nonvisual,4,no,7,-1.714285714,0.755928946,-2,0,2.571428571,1.511857892,0,4,-1.571428571,0.786795792,-2,0,2.142857143,1.67616342,0,4,1.780447015,1.717653188,-0.235396592,no,1,0.235294118
Is it used in experiments?,is-it-used-in-experiments,apple,no,apple:nonvisual:no:5,nonvisual,5,no,5,-0.6,0.894427191,-2,0,0.4,0.894427191,0,2,-0.8,1.303840481,-2,1,0.2,0.447213595,0,1,-1.597697365,-1.253774005,1.503092461,no,1,0.235294118
Is it long?,is-it-long,banana,yes,banana:visual:yes:2,visual,2,yes,8,0.5,0.534522484,0,1,2.25,1.035098339,1,4,-1.125,0.640869944,-2,0,0.375,0.744023809,0,2,1.280392749,-0.98612707,0.770673462,yes,1,0.285714286
Is it yellow?,is-it-yellow,banana,yes,banana:visual:yes:1,visual,1,yes,4,1.5,0.577350269,1,2,2.75,1.258305739,1,4,-1.5,1,-2,0,2.25,1.5,1,4,2.058254941,1.881518658,-0.074425384,yes,1,0.285714286
Does it have a peel?,does-it-have-a-peel,banana,yes,banana:visual:yes:3,visual,3,yes,4,1.5,1,0,2,1.5,1.914854216,0,4,-1.25,1.5,-2,1,0.75,1.5,0,3,0.113599459,-0.412597924,0.488973847,yes,1,0.285714286
Does it have a skin?,does-it-have-a-skin,banana,yes,banana:visual:yes:4,visual,4,yes,3,1.333333333,0.577350269,1,2,1,1,0,2,-1,1,-2,0,0.666666667,0.577350269,0,1,-0.664262734,-0.540048846,1.052373077,yes,1,0.285714286
Is it a fruit?,is-it-a-fruit,banana,yes,banana:nonvisual:yes:1,nonvisual,1,yes,7,1.857142857,0.377964473,1,2,0.857142857,1.463850109,0,4,-1.571428571,0.786795792,-2,0,0.714285714,1.112697281,0,3,-0.886509075,-0.467219748,-0.235396592,yes,1,0.285714286
Does it taste good?,does-it-taste-good,banana,yes,banana:nonvisual:yes:2,nonvisual,2,yes,7,1,1,0,2,0.571428571,0.786795792,0,2,-1.714285714,0.755928946,-2,0,1.428571429,1.511857892,0,3,-1.331001756,0.62521672,-0.55733901,yes,1,0.285714286
Does it grow in tropical climates?,does-it-grow-in-tropical-climates,banana,yes,banana:nonvisual:yes:3,nonvisual,3,yes,5,1.4,0.894427191,0,2,0.2,0.447213595,0,1,-1.6,0.547722558,-2,-1,1,1.414213562,0,3,-1.908842242,-0.030245161,-0.299785076,yes,1,0.285714286
Is it healthy?,is-it-healthy,banana,yes,banana:nonvisual:yes:4,nonvisual,4,yes,6,1,1.549193338,-2,2,1,0.894427191,0,2,-1.666666667,0.516397779,-2,-1,1.333333333,1.505545305,0,3,-0.664262734,0.479558525,-0.450024871,yes,1,0.285714286
Does it have a tail?,does-it-have-a-tail,banana,no,banana:visual:no:2,visual,2,no,4,-1.25,1.5,-2,1,1.5,1.732050808,0,3,-1.75,0.5,-2,-1,1.25,1.892969449,0,4,0.113599459,0.352107603,-0.637824614,no,1,0.285714286
Does it have a beak?,does-it-have-a-beak,banana,no,banana:visual:no:3,visual,3,no,5,-2,0,-2,-2,2,1.224744871,1,4,-2,0,-2,-2,1.4,1.341640786,0,3,0.891461652,0.581519262,-1.201223845,no,1,0.285714286
Does it have feathers?,does-it-have-feathers,banana,no,banana:visual:no:1,visual,1,no,6,-2,0,-2,-2,1.333333333,1.505545305,0,4,-2,0,-2,-2,0.666666667,1.632993162,0,4,-0.145687938,-0.540048846,-1.201223845,no,1,0.285714286
Does it have hooves?,does-it-have-hooves,banana,no,banana:visual:no:4,visual,4,no,5,-2,0,-2,-2,1.2,0.447213595,1,2,-2,0,-2,-2,1.2,1.303840481,0,3,-0.353117857,0.27563705,-1.201223845,no,1,0.285714286
Is it fast?,is-it-fast,banana,no,banana:nonvisual:no:1,nonvisual,1,no,7,-1.428571429,0.786795792,-2,0,1.428571429,1.618347187,0,4,-1,1.290994449,-2,1,0.428571429,1.133893419,0,3,0.002476289,-0.904194335,1.052373077,no,1,0.285714286
Is it worn in cold temperatures?,is-it-worn-in-cold-temperatures,banana,no,banana:nonvisual:no:2,nonvisual,2,no,8,-1.5,1.414213562,-2,2,1.375,1.505940617,0,4,-1.875,0.353553391,-2,-1,0.875,0.991031209,0,2,-0.080866089,-0.221421542,-0.919524229,no,1,0.285714286
Does it have different speeds?,does-it-have-different-speeds,banana,no,banana:nonvisual:no:3,nonvisual,3,no,5,-1.8,0.447213595,-2,-1,1.6,1.816590212,0,4,-1.4,1.341640786,-2,1,0.6,1.341640786,0,3,0.269171898,-0.642009583,0.150934308,no,1,0.285714286
Is it a container?,is-it-a-container,banana,no,banana:nonvisual:no:4,nonvisual,4,no,5,-1.6,0.894427191,-2,0,1.4,1.140175425,0,3,-1.6,0.894427191,-2,0,0.2,0.447213595,0,1,-0.041972979,-1.253774005,-0.299785076,no,1,0.285714286
Is it made of metal?,is-it-made-of-metal,bike,yes,bike:visual:yes:4,visual,4,yes,4,1,1.414213562,-1,2,1.25,1.258305739,0,3,-1.5,0.577350269,-2,-1,0.25,0.5,0,1,-0.275331637,-1.177303452,-0.074425384,yes,1,0.666666667
Does it have handle bars?,does-it-have-handle-bars,bike,yes,bike:visual:yes:1,visual,1,yes,6,1.666666667,0.516397779,1,2,1.833333333,1.471960144,0,4,-1.833333333,0.40824829,-2,-1,0.5,0.836660027,0,2,0.632174254,-0.794950688,-0.825624358,yes,1,0.666666667
Does it have a seat?,does-it-have-a-seat,bike,yes,bike:visual:yes:2,visual,2,yes,6,1.833333333,0.40824829,1,2,1.5,1.974841766,0,4,-1.833333333,0.40824829,-2,-1,0.333333333,0.816496581,0,2,0.113599459,-1.049852531,-0.825624358,yes,1,0.666666667
Does it have gears?,does-it-have-gears,bike,yes,bike:visual:yes:3,visual,3,yes,4,0.75,0.957427108,0,2,1.75,1.707825128,0,4,-1.5,0.577350269,-2,-1,2,1.414213562,1,4,0.502530556,1.499165895,-0.074425384,yes,1,0.666666667
Is it fast?,is-it-fast,bike,yes,bike:nonvisual:yes:4,nonvisual,4,yes,4,0.25,0.5,0,1,1.25,0.957427108,0,2,-1.25,0.957427108,-2,0,1,1.414213562,0,3,-0.275331637,-0.030245161,0.488973847,NA,NA,0.666666667
Does it have different speeds?,does-it-have-different-speeds,bike,yes,bike:nonvisual:yes:3,nonvisual,3,yes,10,1.1,0.737864787,0,2,1.5,1.354006401,0,4,-1.5,0.527046277,-2,-1,0.6,1.264911064,0,4,0.113599459,-0.642009583,-0.074425384,yes,1,0.666666667
Is it used for riding?,is-it-used-for-riding,bike,yes,bike:nonvisual:yes:1,nonvisual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Is it used for racing?,is-it-used-for-racing,bike,yes,bike:nonvisual:yes:2,nonvisual,2,yes,6,1,1.264911064,-1,2,1.333333333,1.211060142,0,3,-1.5,0.547722558,-2,-1,1,1.673320053,0,4,-0.145687938,-0.030245161,-0.074425384,yes,1,0.666666667
Does it have legs?,does-it-have-legs,bike,no,bike:visual:no:1,visual,1,no,7,-2,0,-2,-2,1,1.414213562,0,4,-1.857142857,0.377964473,-2,-1,0.285714286,0.755928946,0,2,-0.664262734,-1.122681628,-0.879281427,no,1,0.666666667
Is it made of plastic?,is-it-made-of-plastic,bike,no,bike:visual:no:2,visual,2,no,8,-1.125,0.991031209,-2,0,1.625,1.187734939,0,3,-0.75,0.88640526,-2,1,1.5,1.195228609,0,3,0.308065007,0.734460367,1.615772308,no,1,0.666666667
Does it have feet?,does-it-have-feet,bike,no,bike:visual:no:3,visual,3,no,7,-2,0,-2,-2,1.142857143,1.463850109,0,4,-2,0,-2,-2,0.142857143,0.377964473,0,1,-0.442016393,-1.341168922,-1.201223845,no,1,0.666666667
Does it have sleeves?,does-it-have-sleeves,bike,no,bike:visual:no:4,visual,4,no,6,-2,0,-2,-2,1,1.264911064,0,3,-1.833333333,0.40824829,-2,-1,0.333333333,0.816496581,0,2,-0.664262734,-1.049852531,-0.825624358,no,1,0.666666667
Is it a mammal?,is-it-a-mammal,bike,no,bike:nonvisual:no:3,nonvisual,3,no,5,-1.2,1.788854382,-2,2,0.8,1.788854382,0,4,-1.2,1.788854382,-2,2,0.8,1.788854382,0,4,-0.975407611,-0.336127372,0.601653693,no,1,0.666666667
Does it live in Africa?,does-it-live-in-africa,bike,no,bike:nonvisual:no:1,nonvisual,1,no,4,-1.25,0.957427108,-2,0,0.5,1,0,2,-1.25,0.957427108,-2,0,0,0,0,0,-1.442124927,-1.559656216,0.488973847,no,1,0.666666667
Is it nocturnal?,is-it-nocturnal,bike,no,bike:nonvisual:no:2,nonvisual,2,no,5,-1.6,0.894427191,-2,0,0.8,1.303840481,0,3,-1.6,0.894427191,-2,0,0.2,0.447213595,0,1,-0.975407611,-1.253774005,-0.299785076,no,1,0.666666667
Is it found at tables?,is-it-found-at-tables,bike,no,bike:nonvisual:no:4,nonvisual,4,no,4,-2,0,-2,-2,1.25,0.957427108,0,2,-1.25,0.5,-2,-1,0.75,0.957427108,0,2,-0.275331637,-0.412597924,0.488973847,no,1,0.666666667
Is it made of plastic?,is-it-made-of-plastic,bottle,yes,bottle:visual:yes:2,visual,2,yes,5,0.6,0.547722558,0,1,2.4,1.341640786,1,4,-1.2,0.836660027,-2,0,0.8,0.836660027,0,2,1.513751406,-0.336127372,0.601653693,yes,1,0.357142857
Is it made of glass?,is-it-made-of-glass,bottle,yes,bottle:visual:yes:1,visual,1,yes,4,1,0.816496581,0,2,2,0.816496581,1,3,-1.5,0.577350269,-2,-1,1.25,0.957427108,0,2,0.891461652,0.352107603,-0.074425384,yes,1,0.357142857
Does it have a neck?,does-it-have-a-neck,bottle,yes,bottle:visual:yes:4,visual,4,yes,5,1.4,0.894427191,0,2,2.2,1.095445115,1,3,-1.4,0.547722558,-2,-1,1.4,0.894427191,1,3,1.202606529,0.581519262,0.150934308,yes,1,0.357142857
Is it a container?,is-it-a-container,bottle,yes,bottle:nonvisual:yes:3,nonvisual,3,yes,6,0.833333333,1.329160136,-1,2,2,1.414213562,0,4,-0.833333333,1.329160136,-2,1,1.666666667,0.816496581,1,3,0.891461652,0.98936221,1.427972564,yes,1,0.357142857
Is it used for holding things?,is-it-used-for-holding-things,bottle,yes,bottle:nonvisual:yes:1,nonvisual,1,yes,9,1.444444444,1.013793755,-1,2,2.666666667,1.5,0,4,-1.222222222,1.301708279,-2,2,1.222222222,1.394433378,0,4,1.928611243,0.309623963,0.551573761,yes,1,0.357142857
Is it used for holding liquids?,is-it-used-for-holding-liquids,bottle,yes,bottle:nonvisual:yes:2,nonvisual,2,yes,5,1.4,0.894427191,0,2,1.4,0.894427191,1,3,-1.6,0.547722558,-2,-1,0.8,0.836660027,0,2,-0.041972979,-0.336127372,-0.299785076,yes,1,0.357142857
Is it breakable?,is-it-breakable,bottle,yes,bottle:nonvisual:yes:4,nonvisual,4,yes,4,0.75,0.5,0,1,2,1.414213562,0,3,-1,0.816496581,-2,0,1,0.816496581,0,2,0.891461652,-0.030245161,1.052373077,yes,1,0.357142857
Is it used for holding beer?,is-it-used-for-holding-beer,bottle,yes,bottle:nonvisual:yes:5,nonvisual,5,yes,4,1.25,0.957427108,0,2,2,1.414213562,0,3,-1.25,0.957427108,-2,0,1,1.414213562,0,3,0.891461652,-0.030245161,0.488973847,yes,1,0.357142857
Does it have seeds?,does-it-have-seeds,bottle,no,bottle:visual:no:2,visual,2,no,7,-2,0,-2,-2,1.428571429,1.133893419,0,3,-2,0,-2,-2,0.857142857,1.573591585,0,4,0.002476289,-0.248732454,-1.201223845,no,1,0.357142857
Does it have eyes?,does-it-have-eyes,bottle,no,bottle:visual:no:4,visual,4,no,6,-1.666666667,0.816496581,-2,0,1.5,1.224744871,0,3,-1,0.894427191,-2,0,1.166666667,1.169045194,0,3,0.113599459,0.224656682,1.052373077,no,1,0.357142857
Does it have feet?,does-it-have-feet,bottle,no,bottle:visual:no:1,visual,1,no,5,-0.6,0.894427191,-2,0,0.4,0.547722558,0,1,-1.2,0.836660027,-2,0,0.4,0.894427191,0,2,-1.597697365,-0.947891794,0.601653693,no,1,0.357142857
Does it have a cork?,does-it-have-a-cork,bottle,no,bottle:visual:no:6,visual,5,yes,7,-0.428571429,0.786795792,-2,0,1.285714286,1.380131119,0,4,-1.714285714,0.755928946,-2,0,0.285714286,0.487950036,0,1,-0.219770052,-1.122681628,-0.55733901,no,0,0.357142857
Does it have armrests?,does-it-have-armrests,bottle,no,bottle:visual:no:3,visual,3,no,5,-1.6,0.894427191,-2,0,2,1.870828693,0,4,-0.8,1.643167673,-2,1,1.8,1.788854382,0,4,0.891461652,1.193283684,1.503092461,no,1,0.357142857
Does it have teeth?,does-it-have-teeth,bottle,no,bottle:visual:no:5,visual,5,no,3,-2,0,-2,-2,1,1,0,2,-2,0,-2,-2,1.666666667,2.081665999,0,4,-0.664262734,0.98936221,-1.201223845,no,1,0.357142857
Is it an animal?,is-it-an-animal,bottle,no,bottle:nonvisual:no:1,nonvisual,1,no,7,-1.571428571,1.133893419,-2,1,0.571428571,0.786795792,0,2,-1.571428571,0.786795792,-2,0,0.714285714,1.253566341,0,3,-1.331001756,-0.467219748,-0.235396592,no,1,0.357142857
Is it juicy?,is-it-juicy,bottle,no,bottle:nonvisual:no:2,nonvisual,2,no,4,-2,0,-2,-2,1.25,1.258305739,0,3,-1.75,0.5,-2,-1,0.25,0.5,0,1,-0.275331637,-1.177303452,-0.637824614,no,1,0.357142857
Is it a carnivore?,is-it-a-carnivore,bottle,no,bottle:nonvisual:no:3,nonvisual,3,no,5,-2,0,-2,-2,1,1.732050808,0,4,-2,0,-2,-2,0.8,1.788854382,0,4,-0.664262734,-0.336127372,-1.201223845,no,1,0.357142857
Does it fly?,does-it-fly,bottle,no,bottle:nonvisual:no:4,nonvisual,4,no,5,-2,0,-2,-2,0.4,0.547722558,0,1,-2,0,-2,-2,0.8,1.303840481,0,3,-1.597697365,-0.336127372,-1.201223845,no,1,0.357142857
Is it an amphibian?,is-it-an-amphibian,bottle,no,bottle:nonvisual:no:5,nonvisual,5,no,5,-2,0,-2,-2,0.4,0.894427191,0,2,-1.8,0.447213595,-2,-1,1.2,1.788854382,0,4,-1.597697365,0.27563705,-0.75050446,no,1,0.357142857
Does it have legs?,does-it-have-legs,camel,yes,camel:visual:yes:3,visual,3,yes,6,2,0,2,2,0.666666667,1.211060142,0,3,-1.833333333,0.40824829,-2,-1,1.833333333,1.722401424,0,4,-1.182837529,1.244264052,-0.825624358,yes,1,0.461538462
Does it have a hump?,does-it-have-a-hump,camel,yes,camel:visual:yes:1,visual,1,yes,5,2,0,2,2,1.6,1.341640786,0,3,-2,0,-2,-2,1,1.224744871,0,3,0.269171898,-0.030245161,-1.201223845,yes,1,0.461538462
Is it brown?,is-it-brown,camel,yes,camel:visual:yes:2,visual,2,yes,4,0.5,1,0,2,1.5,1.732050808,0,4,-1.25,0.957427108,-2,0,1.5,0.577350269,1,2,0.113599459,0.734460367,0.488973847,NA,NA,0.461538462
Is it large?,is-it-large,camel,yes,camel:visual:yes:4,visual,4,yes,4,1,0.816496581,0,2,1.75,0.957427108,1,3,-1.75,0.5,-2,-1,0.5,0.577350269,0,1,0.502530556,-0.794950688,-0.637824614,yes,1,0.461538462
Is it beige?,is-it-beige,camel,yes,camel:visual:yes:5,visual,5,yes,5,1,0.707106781,0,2,1.8,0.836660027,1,3,-0.8,1.095445115,-2,1,0.6,0.547722558,0,1,0.580316775,-0.642009583,1.503092461,yes,1,0.461538462
Is it a mammal?,is-it-a-mammal,camel,yes,camel:nonvisual:yes:4,nonvisual,4,yes,6,1.666666667,0.516397779,1,2,0.5,0.547722558,0,1,-1.5,0.547722558,-2,-1,2,1.095445115,1,4,-1.442124927,1.499165895,-0.074425384,yes,1,0.461538462
Does it live in the desert?,does-it-live-in-the-desert,camel,yes,camel:nonvisual:yes:1,nonvisual,1,yes,8,1.625,0.51754917,1,2,1.375,1.060660172,0,3,-1.625,0.744023809,-2,0,1.375,1.060660172,0,3,-0.080866089,0.543283985,-0.356124999,yes,1,0.461538462
Does it drink water?,does-it-drink-water,camel,yes,camel:nonvisual:yes:2,nonvisual,2,yes,6,2,0,2,2,0.5,0.836660027,0,2,-1.833333333,0.40824829,-2,-1,0.666666667,1.211060142,0,3,-1.442124927,-0.540048846,-0.825624358,yes,1,0.461538462
Is it used by riding?,is-it-used-by-riding,camel,yes,camel:nonvisual:yes:3,nonvisual,3,yes,7,1.714285714,0.755928946,0,2,0.857142857,0.899735411,0,2,-1.571428571,0.534522484,-2,-1,0.857142857,0.899735411,0,2,-0.886509075,-0.248732454,-0.235396592,yes,1,0.461538462
Does it spit?,does-it-spit,camel,yes,camel:nonvisual:yes:5,nonvisual,5,yes,6,1.5,0.836660027,0,2,1.833333333,1.471960144,0,4,-1.5,0.836660027,-2,0,2.5,1.643167673,0,4,0.632174254,2.263871422,-0.074425384,yes,1,0.461538462
Does it eat?,does-it-eat,camel,yes,camel:nonvisual:yes:6,nonvisual,3,no,8,1.375,0.916125381,0,2,1.625,1.505940617,0,4,-1.625,0.744023809,-2,0,1.25,1.58113883,0,4,0.308065007,0.352107603,-0.356124999,yes,0,0.461538462
